Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1962;Нет;Исправный;8;;Не присвоен;1;;2;2;1;929647;;;;;;;;;;;;
1960;Нет;Исправный;8;;Не присвоен;1;;2;2;;929652;;;На счете регионального оператора;0;;;;;;;;
1971;Нет;Исправный;;;;;;;;1;538603;;;;;;Многоквартирный дом;;;;;;
1971;Нет;Исправный;60;48;Не присвоен;4;;5;5;1;334715;;;На счете регионального оператора;0;;;;;;;;
1971;Нет;Исправный;56;32;;4;;;;1;1299393;;;;;Нет;;;;;;;
1970;Нет;Исправный;56;32;Не присвоен;4;;5;;1;646133;;;На счете регионального оператора;;;;;;;;;
1971;Нет;Исправный;56;;;4;;5;;1;537258;;;;;;Многоквартирный дом;;;;;;
1972;Нет;Исправный;98;60;Не присвоен;6;;5;;1;646132;4;;На счете регионального оператора;0;;;;;;;;
1998;Нет;Исправный;86;56;;6;;;;;1299281;;;;;Нет;Многоквартирный дом;;10;;;;
1971;Нет;Исправный;89;60;Не присвоен;6;;5;;1;646135;;;На счете регионального оператора;;;;;;;;;
1973;Нет;Исправный;129;;;;;;;;850998;1;;;;;;;;;;;
2008;Нет;Исправный;45;;А (Очень высокий);1;1;9;9;1;546221;2;;На счете регионального оператора;;;;45;;;;;
1970;Нет;Исправный;129;104;;8;;;;1;1167670;1;;;;Нет;;;;;;;
1972;Нет;Исправный;100;85;Не присвоен;6;;5;;1;536891;1;;На специальном счете у регионального оператора;;;;;;;;;
1972;Нет;Исправный;89;60;Не присвоен;6;;5;;1;646136;;;На счете регионального оператора;;;;;;;;;
2008;Нет;Исправный;45;;А (Очень высокий);1;1;9;1;1;159086;1;;;;;;45;;;;;
1971;Нет;Исправный;99;60;Не присвоен;6;;5;;1;646137;1;;На счете регионального оператора;0;;;;;;;;
1900;Нет;Исправный;139;104;Не присвоен;8;;5;;1;646138;1;;На счете регионального оператора;0;;;;;;;;
1974;Нет;Исправный;113;121;Не присвоен;9;;5;5;1;420780;12;;;;;;;;;;;
1972;Нет;Исправный;;;;;;;;;1144386;;;;;;;;;;;;
1972;Нет;Исправный;60;;;5;;5;;;536352;;;;;;;;;;;;
1972;Нет;Исправный;119;99;;8;;;;1;984174;5;;;;Нет;Многоквартирный дом;;;;;;
1972;Нет;Исправный;119;96;;8;;;;1;984173;;;;;Нет;;;;;;;
1973;Нет;Исправный;117;96;Не присвоен;8;;5;5;1;420783;4;;;;;;;;;;;
1973;Нет;Исправный;90;84;;6;;;;1;984179;1;;;;Нет;Многоквартирный дом;;;;;;
1974;Нет;Исправный;89;84;;6;;;;1;984181;1;;;;Нет;;;;;;;
1974;Нет;Исправный;60;;;4;;5;;;538612;;;;;;Многоквартирный дом;;;;;;
1984;Нет;Исправный;;;Не присвоен;4;;5;5;;737746;;;На специальном счете организации;;;;;;;;;
1984;Нет;Исправный;70;56;;4;;5;5;1;540849;;;На специальном счете организации;;Нет;;;;;;;
1974;Нет;Исправный;90;84;Не присвоен;6;;5;5;1;420786;;;На счете регионального оператора;16;;;;;;;;
1975;Нет;Исправный;119;96;Не присвоен;8;;5;5;1;420787;1;;;;;;;;;;;
1974;Нет;Исправный;129;104;;8;;5;;1;538609;1;;;;Нет;Многоквартирный дом;;;;;;
1973;Нет;Исправный;129;104;;8;;5;;;540356;1;;;;;;;;;;;
1973;Нет;Исправный;90;84;;6;;;;1;984175;;;;;Нет;Многоквартирный дом;;20;;;;
1989;Нет;Исправный;59;48;;3;;;;1;984183;1;;;;Нет;Многоквартирный дом;;;;;;
1985;Нет;Исправный;70;36;;4;;5;5;1;540850;1;;;;;;;;;;;
1973;Нет;Исправный;60;50;;4;;;;1;984182;;;;;Нет;Многоквартирный дом;;24;;;;
1973;Нет;Исправный;90;224;;6;;;;1;536392;;;;;Нет;;;;;;;
1994;Нет;Исправный;57;44;;4;;;;1;984177;;;;;Нет;Многоквартирный дом;;8;;;;
1974;Нет;Исправный;117;96;Не присвоен;8;;5;5;1;420791;2;;;;;;;;;;;
1973;Нет;Исправный;56;48;;4;;;;1;984184;;;;;Нет;Многоквартирный дом;;20;;;;
1974;Нет;Исправный;118;96;Не присвоен;8;;5;5;1;420793;1;;;;;;;;;;;
1980;Нет;Исправный;90;84;;6;;;;1;984178;;;;;Нет;Многоквартирный дом;;25;;;;
1975;Нет;Исправный;;;Не присвоен;6;;5;5;;737747;;;На специальном счете организации;;;;;;;;;
1973;Нет;Исправный;108;90;Не присвоен;2;2;9;9;1;420796;;;;;;;;;;;;
1973;Нет;Исправный;60;48;;4;;;;1;984185;;;;;Нет;Многоквартирный дом;;23;;;;
1978;Нет;Исправный;70;58;;4;;;;1;984187;;;;;Нет;Многоквартирный дом;;12;;;;
1982;Нет;Исправный;131;64;Не присвоен;4;4;9;9;;420798;4;;;;;;81;;;;;
1973;Нет;Исправный;129;;Не присвоен;8;;5;1;1;536060;1;;;0;;;;;;;;
1973;Нет;Исправный;60;49;;4;;;;1;984186;;;;;Нет;Многоквартирный дом;;19;;;;
1974;Нет;Исправный;90;84;;6;;;;1;646134;;;;;Нет;Многоквартирный дом;;23;;;;
1969;Нет;Исправный;86;;;;;;;1;1196640;;;;;;;;;;;;
1975;Нет;Исправный;43;35;Не присвоен;4;;5;5;1;420802;3;;;;;;;;;;;
1983;Нет;Исправный;78;33;Не присвоен;1;2;12;12;;420803;7;;На счете регионального оператора;;;;44;;;;;
1976;Нет;Исправный;53;46;Не присвоен;4;;5;5;1;420804;3;;;;;;;;;;;
1975;Нет;Исправный;60;48;;4;;;;1;984188;;;;;Нет;Многоквартирный дом;;20;;;;
1976;Нет;Исправный;60;48;;4;;;;1;984189;;;;;Нет;Многоквартирный дом;;20;;;;
;Нет;Исправный;;;;;;;;;540692;;;;;;Многоквартирный дом;;;;;;
1976;Нет;Исправный;56;;Не присвоен;4;;5;1;1;540774;;;На специальном счете у регионального оператора;;;;;;;;;
1977;Нет;Исправный;100;86;;6;;;;1;984192;;;;;Нет;Многоквартирный дом;;21;;;;
1977;Нет;Исправный;70;58;;4;;;;1;984193;;;;;Нет;Многоквартирный дом;;21;;;;
1977;Нет;Исправный;112;104;Не присвоен;7;;5;5;1;420807;1;;;;;;;;;;;
1976;Нет;Исправный;70;56;;4;;;;1;984194;;;;;Нет;Многоквартирный дом;;22;;;;
1977;Нет;Исправный;;;Не присвоен;6;;5;5;;737748;;;На специальном счете организации;;;;;;;;;
1976;Нет;Исправный;100;80;;6;;;;1;984197;;;;;Нет;Многоквартирный дом;;27;;;;
1977;Нет;Исправный;70;56;;4;;;;1;984198;;;;;Нет;Многоквартирный дом;;25;;;;
1977;Нет;Исправный;129;82;;8;;;;1;538608;;;;;Нет;Многоквартирный дом;;21;;;;
2002;Нет;Исправный;120;;B;2;2;10;;;159055;5;01.10.2016;;;;;140;;;;;
1995;Нет;Исправный;48;24;;2;;6;;1;540229;;;;;;;24;;;;;
2002;Нет;Исправный;120;;B;2;2;10;10;;159056;4;;;;;;140;;;;;
2002;Нет;Исправный;120;;B;2;2;10;;;159057;5;01.10.2016;;;;;140;;;;;
1967;Нет;Исправный;46;36;Не присвоен;3;;4;4;1;313404;1;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;64;36;Не присвоен;4;;4;4;;313403;;;На счете регионального оператора;54;Нет;;;;;;;
1967;Нет;Исправный;60;44;Не присвоен;4;;5;5;1;313405;;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;30;;Не присвоен;4;;4;4;;313406;1;;На счете регионального оператора;0;Нет;;;;;;;
1959;Нет;Исправный;29;30;Не присвоен;4;;4;4;1;313407;3;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;11;;;2;;;;1;850999;2;;;;Нет;Многоквартирный дом;;37;;;;
1951;Нет;Исправный;16;;;2;;;;1;851000;;;;;Нет;Многоквартирный дом;;;;;;
1951;Нет;Исправный;16;;;2;;;;1;851001;1;;;;Нет;Многоквартирный дом;;41;;;;
1951;Нет;Исправный;16;;Не присвоен;2;;2;;1;917983;;;;;Нет;;;;;;;
1946;Нет;Исправный;16;;Не присвоен;2;;2;2;;923741;;;На счете регионального оператора;0;Нет;;;;;;;
1949;Нет;Исправный;16;10;;2;;;;1;1269588;;;;;Нет;;;;;;;
1948;Нет;Исправный;15;;Не присвоен;2;;2;2;;851002;1;;На счете регионального оператора;;;;;;;;;
;Нет;Исправный;;;;;;;;1;1352718;;;;;;;;;;;;
1948;Нет;Исправный;15;;Не присвоен;2;;2;2;;923738;1;;На счете регионального оператора;;;;;;;;;
1948;Нет;Исправный;36;24;Не присвоен;4;;3;3;1;313408;2;;На счете регионального оператора;0;;;;;;;;
1947;Нет;Исправный;16;;Не присвоен;2;;2;2;;923743;;;На счете регионального оператора;0;Нет;;;;;;;
1948;Нет;Исправный;19;7;Не присвоен;3;;3;3;1;313409;1;;;;;;;;;;;
1950;Нет;Исправный;18;;Не присвоен;3;;3;1;1;407137;;;На счете регионального оператора;;;;;;;;;
1948;Нет;Исправный;16;10;;2;;;;1;1294877;;;;;Нет;Многоквартирный дом;;38;;;;
1947;Нет;Исправный;4;;;1;;2;;;1338080;;;;;Нет;Многоквартирный дом;;;;;;
1947;Нет;Исправный;16;;Не присвоен;2;;2;2;;923744;;;На счете регионального оператора;0;Нет;;;;;;;
1950;Нет;Исправный;18;20;Не присвоен;2;;3;3;1;923740;6;;;;;;;;;;;
1950;Нет;Исправный;20;11;;2;;3;3;1;923622;4;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;28;23;Не присвоен;3;;3;3;1;923626;1;;;;;;;;;;;
1952;Нет;Исправный;28;18;Не присвоен;2;;4;4;1;923627;4;;;;;;;;;;;
1952;Нет;Исправный;34;32;Не присвоен;3;;4;4;1;363512;2;;;;;;;;;;;
1952;Нет;Исправный;35;23;Не присвоен;3;;4;4;1;363513;6;;;;;;;;;;;
1952;Нет;Исправный;29;21;Не присвоен;3;;4;4;;363514;3;;На счете регионального оператора;0;;;;;;;;
1954;Нет;Исправный;52;47;Не присвоен;4;;4;4;1;363515;5;;;;;;;;;;;
1954;Нет;Исправный;48;39;Не присвоен;4;;4;4;1;363516;4;;;;;;;;;;;
1954;Нет;Исправный;26;6;Не присвоен;2;;4;4;;923734;2;;На счете регионального оператора;0;;;;;;;;
1954;Нет;Исправный;28;10;Не присвоен;2;;4;4;1;923736;3;;;;;;;;;;;
1954;Нет;Исправный;51;31;Не присвоен;4;;5;4;1;363519;5;;;;;;;;;;;
1954;Нет;Исправный;50;32;Не присвоен;4;;5;4;1;363520;7;;;;;;;;;;;
1963;Нет;Исправный;48;44;Не присвоен;3;;5;5;1;334716;5;;;;;;;;;;;
1977;Нет;Исправный;50;31;Не присвоен;1;1;9;;1;646139;2;;На счете регионального оператора;;;;14;;;;;
1963;Нет;Исправный;80;68;Не присвоен;4;;5;5;;334717;;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;56;51;Не присвоен;4;;5;;1;646140;3;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;334719;;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;79;64;Не присвоен;4;;5;5;1;334718;1;;;;;;;;;;;
1965;Нет;Исправный;40;40;Не присвоен;2;;5;;1;646141;;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;48;44;Не присвоен;3;;5;5;1;334720;2;;;;;;;;;;;
1965;Нет;Исправный;80;64;Не присвоен;4;;5;;1;646142;;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;80;68;Не присвоен;4;;5;5;;334722;;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;334721;;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;80;64;Не присвоен;4;;5;;1;646143;;;На счете регионального оператора;0;Нет;;;;;;;
1966;Нет;Исправный;75;;A;5;;5;5;;775453;;;;;;;;;;;;
1964;Нет;Исправный;59;51;Не присвоен;3;;5;5;1;334723;1;;;;;;;;;;;
1964;Нет;Исправный;80;68;Не присвоен;4;;5;5;1;334724;;;На счете регионального оператора;0;;;;;;;;
1966;Нет;Исправный;100;;;5;;5;;1;537065;;;На специальном счете организации;;;Многоквартирный дом;;;;;;
1966;Нет;Исправный;90;80;Не присвоен;6;;5;;1;646144;;;На счете регионального оператора;;;;;;;;;
1963;Нет;Исправный;48;44;Не присвоен;3;;5;5;1;334725;1;;;;;;;;;;;
1966;Нет;Исправный;55;48;Не присвоен;4;;5;;;646145;1;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;80;64;Не присвоен;4;;5;5;;334726;;;На счете регионального оператора;;;;;;;;;
1967;Нет;Исправный;49;48;Не присвоен;4;;5;;1;646146;6;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;80;68;Не присвоен;4;;5;5;1;334727;;;На счете регионального оператора;0;;;;;;;;
1968;Нет;Исправный;51;32;Не присвоен;1;1;9;;1;646147;2;;На счете регионального оператора;;;;18;;;;;
1963;Нет;Исправный;48;44;Не присвоен;3;;5;5;;334728;;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;51;48;Не присвоен;3;;5;5;1;334729;5;;;;;;;;;;;
1964;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334730;;;На счете регионального оператора;0;;;;;;;;
1968;Нет;Исправный;112;108;Не присвоен;8;;5;;1;646148;12;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;49;48;Не присвоен;3;;5;5;1;334731;7;;;;;;;;;;;
1964;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334732;;18.02.2013;;;;;;;;;;
1964;Нет;Исправный;100;80;;5;;5;5;1;540851;;;На специальном счете организации;;;;;;;;;
